id,name,type,start,year,exit,sex,age,category,winner,instagram
5GJ,5 gegen Jauch,2,99,99,99,99,99,6,99,99
5SFL,5 Senses for Love,2,99,99,99,99,99,1,99,99
AFS,Auf fremden Sofas,2,99,99,99,99,99,2,99,99
AYTO,Are You The One,2,99,99,99,99,99,1,99,99
B1,Bachelor,2,99,99,99,99,99,1,99,99
B2,Bachelorette,2,99,99,99,99,99,1,99,99
BATN,Beauty and the Nerd,2,99,99,99,99,99,1,99,99
BB,Big Brother,2,99,99,99,99,99,2,99,99
BuBa,Buchstaben Battle,2,99,99,99,99,99,6,99,99
BIP,Bachelor in Paradise,2,99,99,99,99,99,1,99,99
BISA,Bin ich schlauer als,2,99,99,99,99,99,6,99,99
BOK,Blamieren oder Kassieren,2,99,99,99,99,99,6,99,99
BS,Bachelor Schweiz,2,99,99,99,99,99,1,99,99
BSF,Bauer sucht Frau,2,99,99,99,99,99,1,99,99
BTB,Beat the Box,2,99,99,99,99,99,6,99,99
C,Catch,2,99,99,99,99,99,7,99,99
CC,Couple Challenge,2,99,99,99,99,99,1,99,99
CDGL,Club der guten Laune,2,99,99,99,99,99,2,99,99
D25,Die 25,2,99,99,99,99,99,8,99,99
D80S,Die 80er Show,2,99,99,99,99,99,8,99,99
DC,Dschungelcamp,2,99,99,99,99,99,2,99,99
DGD,Die große Dschungelshow,2,99,99,99,99,99,2,99,99
DGPB,Das große Promi Bueßen,2,99,99,99,99,99,2,99,99
DGPBa,Das große Promi Backen,2,99,99,99,99,99,3,99,99
DOI,Dancing on Ice,2,99,99,99,99,99,3,99,99
DS,Die Superhaendler,2,99,99,99,99,99,8,99,99
DST,Das Supertalent,2,99,99,99,99,99,3,99,99
DSWNWP,Denn sie wissen nicht was passiert,2,99,99,99,99,99,6,99,99
DUC,Die Ultimative Chartshow,2,99,99,99,99,99,8,99,99
EB,Ex on the Beach,2,99,99,99,99,99,1,99,99
FB,Fort Boyard,2,99,99,99,99,99,6,99,99
FD,First Dates,2,99,99,99,99,99,1,99,99
FDi,Fitness Diaries,2,99,99,99,99,99,7,99,99
FDS,Festspiele der Stars,2,99,99,99,99,99,6,99,99
GDH,Grill den Henssler,2,99,99,99,99,99,3,99,99
GDP,Grill den Profi,2,99,99,99,99,99,3,99,99
GN,Genial Daneben,2,99,99,99,99,99,6,99,99
GNTM,Germanys Next Topmodel,2,99,99,99,99,99,3,99,99
GTFOOMH,Get the Fuck out of my house,2,99,99,99,99,99,2,99,99
GZSZ,Gute Zeiten Schlechte Zeiten,2,99,99,99,99,99,5,99,99
HADEB,Hochzeit auf den ersten Blick,2,99,99,99,99,99,1,99,99
HIE,Hebammen im Einsatz,2,99,99,99,99,99,8,99,99
HOS,Hot oder Schrott,2,99,99,99,99,99,8,99,99
JTOU,Just Tattoo Of Us,2,99,99,99,99,99,8,99,99
K50667,Koeln 50667,2,99,99,99,99,99,5,99,99
KRS,Kampf der Reality Stars,2,99,99,99,99,99,2,99,99
KSDJL,Krass Schule Die jungen Lehrer,2,99,99,99,99,99,5,99,99
KT,Koelner Treff,2,99,99,99,99,99,4,99,99
LD,Lets Dance,2,99,99,99,99,99,3,99,99
LGN,Luke Die Greatnightshow,2,99,99,99,99,99,8,99,99
LI,Love Island,2,99,99,99,99,99,1,99,99
LS,Lucky Stars,2,99,99,99,99,99,6,99,99
MBDA,Mario Barth deckt auf,2,99,99,99,99,99,8,99,99
MDBFUI,Mein Date bester Freunde und ich,2,99,99,99,99,99,1,99,99
MLFL,Make Love Fake Love,2,99,99,99,99,99,1,99,99
MM,Murmel Mania,2,99,99,99,99,99,6,99,99
MOM,Milf oder Missy,2,99,99,99,99,99,1,99,99
MPAD,Match Promis auf Datingkurs,2,99,99,99,99,99,1,99,99
NW,Ninja Warrior,2,99,99,99,99,99,7,99,99
P,Playboy,2,99,99,99,99,99,8,99,99
PB,Promi Boxen Sat 1,2,99,99,99,99,99,7,99,99
PBB,Promi Big Brother,2,99,99,99,99,99,2,99,99
PC,Prince Charming,2,99,99,99,99,99,1,99,99
PG,Prominent getrennt,2,99,99,99,99,99,1,99,99
PGE,Pocher Gefaehrlich ehrlich,2,99,99,99,99,99,8,99,99
PIP,Pretty in Pluesch,2,99,99,99,99,99,3,99,99
PPD,Perfektes Promi Dinner,2,99,99,99,99,99,3,99,99
PSQ,Promi Shopping Queen,2,99,99,99,99,99,8,99,99
PUP,Promis unter Palmen,2,99,99,99,99,99,2,99,99
PVM,Die grosse ProSieben Voelkerball Meisterschaft,2,99,99,99,99,99,7,99,99
PWG,ProSieben Wintergames,2,99,99,99,99,99,7,99,99
RTLS,RTL Sommerspiele,2,99,99,99,99,99,7,99,99
SDS,Sommerhaus der Stars,2,99,99,99,99,99,2,99,99
SDS1,Schlag den Star,2,99,99,99,99,99,6,99,99
SIDM,Stars in der Manege,2,99,99,99,99,99,3,99,99
SS,Selling Sunset,2,99,99,99,99,99,2,99,99
STV,Stern TV,2,99,99,99,99,99,4,99,99
SYS,Style your Star,2,99,99,99,99,99,8,99,99
taff,taff,2,99,99,99,99,99,4,99,99
TBL,The Biggest Loser,2,99,99,99,99,99,7,99,99
TFG,Taeglich frisch geroestet,2,99,99,99,99,99,8,99,99
TI,Temptation Island,2,99,99,99,99,99,1,99,99
TMO,Take me out,2,99,99,99,99,99,1,99,99
TSB,Topf Sucht Burdecki,2,99,99,99,99,99,1,99,99
TW,The Wheel,2,99,99,99,99,99,6,99,99
VSS,Verstehen Sie Spaß,2,99,99,99,99,99,8,99,99
WWM,Wer wird Millionaer,2,99,99,99,99,99,6,99,99
ZUDS,Zeig uns deine Stimme,2,99,99,99,99,99,6,99,99
AliPe,Alisa Persch,1,Bachelorette,2015,10,1,27,99,1,1
AlPe,Alexander Peplinski,1,Bachelorette,2015,8,1,29,99,1,1
AlTz,Alexandra Tzimas,1,Bachelor,2015,4,1,22,99,1,1
AnKu,Annamaria Kun,1,Bachelor,2015,3,1,26,99,1,1
AnRo,Anica Roth,1,Bachelor,2015,6,1,27,99,1,1
CaEh,Carolin Ehrensberg,1,Bachelor,2015,8,1,22,99,1,2
ChWe,Christian Weisekopf,1,Bachelorette,2015,1,2,26,99,1,1
DaMa,Daniel Mazzola,1,Bachelorette,2015,1,2,24,99,1,2
De,Dennis,1,Bachelorette,2015,3,2,36,99,1,1
Dz,Deniz,1,Bachelorette,2015,3,2,27,99,1,1
FoKe,Florian Keck,1,Bachelorette,2015,5,2,27,99,1,1
FrWi,Frank Wilhelm,1,Bachelorette,2015,4,2,42,99,1,1
GoSe,Gordon Senger,1,Bachelorette,2015,4,2,32,99,1,1
HaKa,Hakan Kaveller,1,Bachelorette,2015,5,2,29,99,1,1
HiJaHu,Hina Jasmin Hussain,1,Bachelor,2015,1,1,23,99,1,1
JoPe,Joerg Petersen,1,Bachelorette,2015,5,2,29,99,1,1
KaRi,Karina Rifert,1,Bachelor,2015,4,1,27,99,1,1
KeBo,Kevin Borschers,1,Bachelorette,2015,4,2,24,99,1,1
La,Lara,1,Bachelor,2015,1,1,25,99,1,2
LaKu,Lars Kueckelhahn,1,Bachelorette,2015,1,2,29,99,1,1
LiBiBr,Lisa Bienefeld Brands,1,Bachelor,2015,1,1,23,99,1,1
LiKa,Liz Kaeber,1,Bachelor,2015,10,1,22,99,1,1
LiSc,Liesa Marie Schmidt,1,Bachelor,2015,4,1,21,99,1,1
MaBe,Mathias Becker,1,Bachelorette,2015,4,2,39,99,1,1
MaOs,Marvin Osei,1,Bachelorette,2015,2,2,20,99,1,3
MaRi,Mario Ringelmann,1,Bachelorette,2015,6,2,24,99,1,1
NaMe,Nadine Mayer,1,Bachelor,2015,1,1,24,99,1,1
NaSc,Natascha van Ingen Schenau,1,Bachelor,2015,5,1,27,99,1,1
NiNe,Nicola Neuer,1,Bachelor,2015,3,1,31,99,1,1
